Allan Chochinov|https://taw.imgix.net/speakers/allan_chochinov.jpg?w=1&fp-y=0.48&fp-x=.38&crop=focal&h=740&fit=crop|Chair, SVA MFA Products of Design; Partner, Core77|Design Education|description||Killing the Cat||productsofdesign.sva.edu|http://productsofdesign.sva.edu|Core77|http://www.core77.com\

Bushra Mahmood|https://taw.imgix.net/speakers/bushra_mahmood.jpg?fp-debug=0&fp-y=.3&fp-x=.25&crop=focalpoint&fit=crop&h=990&w=772|Senior Director|Nicholas Cage'presentations'stuff|Bushra is a senior experience designer currently working at Adobe in San Francisco. She has built a diverse portfolio working in finance, government, advertising, e-commerce and digital publishing. She has worked for several high profile clients including Whole Foods, NBA, Skype, Nokia, Blackberry and Cornell University. Before Adobe, Bushra worked as the lead designer at a finance startup that was successfully acquired by Goldman Sachs.|Adding Cage-ism|Friday October 21, 7:00-8:00PM|instagram|http://url.com|loremipsum.com|link.com\

Chris Remo|https://taw.imgix.net/speakers/chris_remo.jpg?w=.779&h=1&crop=focalpoint&fit=crop&fp-x=.49&fp-y=.34|Junior Something|eqwr'sdf'jobs'stuffs|dfjlj;jj;f desc|Bloops|Sunday, 5-2AM|bleepbloop.com|http://url.com|instagram|otherlink.com\

Helen Androlia|https://taw.imgix.net/speakers/HelenAndrolia.jpg?fp-y=.6&fp-x=.52&crop=focalpoint&fit=crop&h=990&w=772|Manager of Someplace|laskdfj'ekcv'lafkj|bnc,mznvew descr|Meeps|Monday, 4-0PM|meepmeep.com|http://url.com|instagram|otherotherlink.com\

Jake Lodwick|https://taw.imgix.net/speakers/jake_cf019036.jpeg?w=998&h=1&crop=focalpoint&fit=crop&fp-x=.5&fp-y=.42|Manager of Someotherplace|cxzxcv'qweg'lfdhshh|erasdgardff descr|Mops|Monday, 4-6PM|meepmop.com|http://url.com|instagram|otherslink.com\

Jasmin Lai|https://taw.imgix.net/speakers/jasmin_lai.jpg?w=750&h=1&crop=focalpoint&fit=crop&fp-x=.6&fp-y=.24|Manager of Someotherplace|cxzxcv'qweg'lfdhshh|erasdgardff descr|Mops|Monday, 4-6PM|meepmop.com|http://url.com|instagram|otherslink.com\

Jeff Soyk|https://taw.imgix.net/speakers/jeff_soyk.jpg?w=1&h=912&crop=focalpoint&fit=crop&fp-x=.2&fp-y=.54|Manager of Someotherplace|cxzxcv'qweg'lfdhshh|erasdgardff descr|Mops|Monday, 4-6PM|meepmop.com|http://url.com|instagram|otherslink.com\

Jordan Nollman|https://taw.imgix.net/speakers/jordan_nollman.jpg?w=2309&h=1&crop=focalpoint&fit=crop&fp-x=.59&fp-y=.45|Manager of Someotherplace|cxzxcv'qweg'lfdhshh|erasdgardff descr|Mops|Monday, 4-6PM|meepmop.com|http://url.com|instagram|otherslink.com\

Kim Alpert|https://taw.imgix.net/speakers/kim_alpert.jpg?w=482&h=1&crop=focalpoint&fit=crop&fp-x=.36&fp-y=0.38|Manager of Someotherplace|cxzxcv'qweg'lfdhshh|erasdgardff descr|Mops|Monday, 4-6PM|meepmop.com|http://url.com|instagram|otherslink.com\

Maria Eife|https://taw.imgix.net/speakers/maria_eife.JPG?w=1&h=1284&crop=focalpoint&fit=crop&fp-x=0.5&fp-y=0.35|Manager of Someotherplace|cxzxcv'qweg'lfdhshh|erasdgardff descr|Mops|Monday, 4-6PM|meepmop.com|http://url.com|instagram|otherslink.com\

Matt Olpinski|https://taw.imgix.net/speakers/matt_olpinski.jpg?w=.779&h=1&crop=focalpoint&fit=crop&fp-x=.5&fp-y=0.45|Manager of Someotherplace|cxzxcv'qweg'lfdhshh|erasdgardff descr|Mops|Monday, 4-6PM|meepmop.com|http://url.com|instagram|otherslink.com\

Maya Bruck|https://taw.imgix.net/speakers/maya_bruck.jpg?w=.779&h=1&crop=focalpoint&fit=crop&fp-x=0.6&fp-y=0.4|Manager of Someotherplace|cxzxcv'qweg'lfdhshh|erasdgardff descr|Mops|Monday, 4-6PM|meepmop.com|http://url.com|instagram|otherslink.com\

Miguel Cardona||Manager of Someotherplace|cxzxcv'qweg'lfdhshh|erasdgardff descr|Mops|Monday, 4-6PM|meepmop.com|http://url.com|instagram|otherslink.com\

Mitch Goldstein|https://taw.imgix.net/speakers/mitch_goldstein.jpg?w=1&h=1540&crop=focalpoint&fit=crop&fp-x=0.5&fp-y=0.4|Manager of Someotherplace|cxzxcv'qweg'lfdhshh|erasdgardff descr|Mops|Monday, 4-6PM|meepmop.com|http://url.com|instagram|otherslink.com\

Pattie Moore|https://taw.imgix.net/speakers/pattie_moore.jpg?w=1&h=832&crop=focalpoint&fit=crop&fp-x=0.48&fp-y=0.4|Manager of Someotherplace|cxzxcv'qweg'lfdhshh|erasdgardff descr|Mops|Monday, 4-6PM|meepmop.com|http://url.com|instagram|otherslink.com\

Tnaya Witmer|https://taw.imgix.net/speakers/tnaya_witmer.jpg?w=1513&h=1&crop=focalpoint&fit=crop&fp-x=0.5&fp-y=0.3|Manager of Someotherplace|cxzxcv'qweg'lfdhshh|erasdgardff descr|Mops|Monday, 4-6PM|meepmop.com|http://url.com|instagram|otherslink.com\

Will Gibbons|https://taw.imgix.net/speakers/will_gibbons.jpg?w=.779&h=1&crop=focalpoint&fit=crop&fp-x=0.5&fp-y=0.5|Manager of Someotherplace|cxzxcv'qweg'lfdhshh|erasdgardff descr|Mops|Monday, 4-6PM|meepmop.com|http://url.com|instagram|otherslink.com

